CustomerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ChargesTotal,ChargesMonthly,DailyCharges
0071-NDAFP,No,Male,0,1,1,25,1,1,Two year,0,Credit card (automatic),No,0,0,0,0,0,0,630.6,25.5,0.85
0074-HDKDG,No,Male,0,1,1,25,1,0,One year,1,Bank transfer (automatic),DSL,1,1,1,0,0,0,1611.0,61.6,2.0533333333333332
0076-LVEPS,No,Male,0,0,1,29,0,0,Month-to-month,1,Mailed check,DSL,1,1,1,1,0,0,1242.45,45.0,1.5
0078-XZMHT,No,Male,0,1,0,72,1,1,Two year,1,Bank transfer (automatic),DSL,0,1,1,1,1,1,6316.2,85.15,2.8383333333333334
0080-EMYVY,No,Female,0,0,0,14,1,0,One year,0,Credit card (automatic),DSL,0,1,0,0,0,0,727.85,51.45,1.715
0080-OROZO,No,Female,0,0,0,35,1,0,One year,1,Electronic check,Fiber optic,0,0,1,1,1,1,3532.0,99.25,3.308333333333333
0082-LDZUE,No,Male,0,0,0,1,1,0,Month-to-month,1,Mailed check,DSL,0,0,0,0,0,0,44.3,44.3,1.4766666666666666
0082-OQIQY,No,Male,0,0,0,29,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,0,1,1,1,2607.6,94.2,3.14
0083-PIVIK,No,Male,0,0,0,64,1,1,One year,0,Electronic check,DSL,1,1,1,1,1,0,5567.55,81.25,2.7083333333333335
0089-IIQKO,No,Female,0,1,1,39,1,1,Month-to-month,1,Credit card (automatic),Fiber optic,0,0,0,1,1,1,3767.4,99.95,3.3316666666666666
0093-EXYQL,No,Female,1,0,0,40,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,1,1,3673.6,91.55,3.0516666666666667
0093-XWZFY,Yes,Male,0,0,0,40,1,1,Month-to-month,1,Credit card (automatic),Fiber optic,0,1,1,0,1,1,4036.85,104.5,3.4833333333333334
0094-OIFMO,Yes,Female,1,0,0,11,1,0,Month-to-month,1,Electronic check,Fiber optic,0,1,0,0,1,1,1120.3,95.0,3.1666666666666665
0096-BXERS,No,Female,0,1,0,6,1,1,Month-to-month,0,Electronic check,DSL,0,0,0,0,0,0,314.55,50.35,1.6783333333333335
0096-FCPUF,No,Male,0,0,0,30,1,1,Month-to-month,1,Mailed check,DSL,1,0,0,0,0,1,1888.45,64.5,2.15
0098-BOWSO,No,Male,0,0,0,27,1,0,Month-to-month,1,Electronic check,No,0,0,0,0,0,0,529.8,19.4,0.6466666666666666
0100-DUVFC,No,Male,1,1,0,70,1,1,One year,1,Electronic check,Fiber optic,0,1,1,0,1,1,7308.95,104.8,3.493333333333333
0103-CSITQ,No,Female,0,1,0,57,1,1,One year,1,Bank transfer (automatic),Fiber optic,0,1,1,1,1,1,6252.7,109.4,3.646666666666667
0104-PPXDV,No,Male,0,1,0,58,1,0,One year,0,Credit card (automatic),DSL,0,0,1,0,0,0,2878.55,50.3,1.6766666666666665
0106-GHRQR,No,Male,0,0,0,16,1,1,Month-to-month,1,Bank transfer (automatic),DSL,0,1,1,0,0,1,1212.1,71.4,2.3800000000000003
0106-UGRDO,No,Female,0,1,0,69,1,1,Two year,1,Electronic check,Fiber optic,1,1,1,1,1,1,8182.85,116.0,3.8666666666666667
0107-WESLM,Yes,Male,0,0,0,1,1,0,Month-to-month,1,Electronic check,No,0,0,0,0,0,0,19.85,19.85,0.6616666666666667
0107-YHINA,Yes,Male,0,0,1,1,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,1,0,1,1,99.75,99.75,3.325
0111-KLBQG,No,Male,1,1,1,32,1,0,Month-to-month,1,Mailed check,Fiber optic,0,1,0,0,1,1,2861.45,93.95,3.131666666666667
0112-QAWRZ,No,Male,0,1,1,16,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,0,0,1,0,1,0,1442.2,90.8,3.0266666666666664
0112-QWPNC,Yes,Male,0,1,0,49,1,1,One year,0,Electronic check,DSL,1,0,1,1,1,1,4059.35,84.35,2.8116666666666665
0114-IGABW,No,Female,0,1,0,71,0,0,Two year,0,Bank transfer (automatic),DSL,0,1,1,1,1,1,4145.9,58.25,1.9416666666666667
0114-PEGZZ,No,Female,0,0,0,33,1,1,Month-to-month,0,Electronic check,Fiber optic,0,1,1,0,1,1,3645.5,107.55,3.585
0114-RSRRW,No,Female,0,1,0,10,1,0,Month-to-month,1,Bank transfer (automatic),No,0,0,0,0,0,0,187.75,19.95,0.6649999999999999
0115-TFERT,Yes,Male,0,1,0,21,1,1,Month-to-month,1,Electronic check,Fiber optic,0,1,1,1,1,1,2317.1,111.2,3.7066666666666666
0117-LFRMW,Yes,Male,0,1,1,37,0,0,Month-to-month,0,Bank transfer (automatic),DSL,1,1,1,0,0,0,1448.8,40.2,1.34
0118-JPNOY,No,Female,1,0,0,26,1,0,Month-to-month,1,Credit card (automatic),Fiber optic,1,0,0,0,1,0,2193.65,85.8,2.86
0120-YZLQA,N/A,Male,0,0,0,71,1,0,Two year,1,Credit card (automatic),No,0,0,0,0,0,0,1355.1,19.9,0.6633333333333333
0121-SNYRK,No,Male,0,0,0,50,0,0,One year,1,Mailed check,DSL,1,0,0,1,0,0,1748.9,35.4,1.18
0122-OAHPZ,Yes,Female,0,0,0,7,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,0,0,511.25,73.85,2.4616666666666664
0123-CRBRT,No,Female,0,1,1,61,1,1,Two year,0,Mailed check,DSL,1,1,1,1,1,1,5526.75,88.1,2.9366666666666665
0125-LZQXK,Yes,Male,0,0,0,15,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,1,1,1,1,1553.95,101.35,3.378333333333333
0128-MKWSG,No,Female,0,0,1,26,0,0,Month-to-month,0,Mailed check,DSL,1,0,0,1,0,1,1147.0,45.8,1.5266666666666666
0129-KPTWJ,No,Male,0,1,0,72,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,1,0,1,1,6747.35,94.65,3.1550000000000002
0129-QMPDR,No,Male,0,1,1,44,1,0,One year,1,Bank transfer (automatic),No,0,0,0,0,0,0,865.05,20.5,0.6833333333333333
0130-SXOUN,No,Male,0,0,0,66,1,1,Month-to-month,0,Credit card (automatic),Fiber optic,0,1,0,0,0,1,5976.9,89.4,2.98
0133-BMFZO,Yes,Female,0,0,0,2,1,0,Month-to-month,1,Electronic check,Fiber optic,1,1,0,1,0,0,181.65,86.25,2.875
0134-XWXCE,No,Female,1,0,0,44,1,0,One year,0,Bank transfer (automatic),DSL,0,0,1,1,1,1,3268.05,74.85,2.4949999999999997
0135-NMXAP,Yes,Female,0,0,0,12,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,0,1,0,0,1,0,1052.4,89.75,2.9916666666666667
0136-IFMYD,No,Male,1,1,0,69,1,1,Two year,1,Electronic check,Fiber optic,0,1,1,1,1,1,7634.25,109.95,3.665
0137-OCGAB,Yes,Female,0,0,0,1,1,1,Month-to-month,1,Mailed check,Fiber optic,0,1,0,0,0,0,80.2,80.2,2.6733333333333333
0137-UDEUO,Yes,Female,0,0,0,3,1,0,Month-to-month,0,Mailed check,No,0,0,0,0,0,0,63.75,19.85,0.6616666666666667
0139-IVFJG,No,Female,0,1,0,2,1,0,Month-to-month,0,Electronic check,Fiber optic,1,1,0,0,1,0,190.5,90.35,3.0116666666666663
0141-YEAYS,No,Female,1,0,0,27,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,0,1,1,0,0,0,2401.05,86.45,2.881666666666667
0142-GVYSN,No,Male,0,0,0,26,1,0,Month-to-month,1,Electronic check,No,0,0,0,0,0,0,511.25,20.3,0.6766666666666666
0147-ESWWR,No,Female,1,1,0,39,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,1,1,1,3949.15,101.25,3.375
0148-DCDOS,Yes,Male,0,0,0,25,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,0,0,0,0,1,1,2362.1,94.7,3.1566666666666667
0151-ONTOV,Yes,Female,0,0,0,1,1,0,Month-to-month,0,Mailed check,Fiber optic,0,0,0,0,0,0,70.9,70.9,2.3633333333333337
0154-QYHJU,N/A,Male,0,0,0,29,1,0,One year,1,Electronic check,DSL,1,1,0,1,0,0,1696.2,58.75,1.9583333333333333
0156-FVPTA,Yes,Male,0,1,0,22,1,0,Month-to-month,1,Electronic check,DSL,1,0,0,1,0,0,1152.7,54.2,1.8066666666666669
0162-RZGMZ,N/A,Female,1,0,0,5,1,0,Month-to-month,0,Credit card (automatic),DSL,1,1,0,1,0,0,287.85,59.9,1.9966666666666666
0164-APGRB,No,Female,0,0,0,72,1,1,Two year,1,Electronic check,Fiber optic,1,1,1,1,1,1,8496.7,114.9,3.83
0164-XAIRP,No,Female,0,0,0,24,1,0,Two year,1,Bank transfer (automatic),No,0,0,0,0,0,0,470.2,19.55,0.6516666666666667
0168-XZKBB,No,Female,0,1,0,19,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,1,0,1564.4,86.85,2.895
0174-QRVVY,No,Male,0,1,1,71,1,1,Two year,0,Credit card (automatic),No,0,0,0,0,0,0,1847.55,25.35,0.8450000000000001
0177-PXBAT,No,Male,1,1,0,33,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,1,0,1,1,1,1,3694.7,109.9,3.6633333333333336
0178-CIIKR,No,Female,0,0,0,3,1,0,Month-to-month,0,Mailed check,No,0,0,0,0,0,0,58.0,19.95,0.6649999999999999
0178-SZBHO,No,Male,0,1,1,47,1,1,Month-to-month,0,Electronic check,Fiber optic,0,1,0,0,1,0,4017.45,87.2,2.9066666666666667
0181-RITDD,No,Male,0,1,1,62,1,0,Two year,0,Mailed check,Fiber optic,1,1,1,1,1,1,6825.65,108.15,3.605
0186-CAERR,No,Male,0,0,0,71,1,1,One year,1,Bank transfer (automatic),Fiber optic,1,1,1,1,1,1,8309.55,116.3,3.8766666666666665
0187-QSXOE,No,Male,1,1,0,7,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,1,1,605.45,89.0,2.966666666666667
0187-WZNAB,No,Female,0,1,1,27,1,0,Month-to-month,0,Mailed check,Fiber optic,1,0,0,0,0,0,1972.35,74.4,2.48
0188-GWFLE,No,Male,0,0,0,2,1,0,Month-to-month,0,Mailed check,No,0,0,0,0,0,0,33.7,20.05,0.6683333333333333
0191-EQUUH,No,Female,0,0,1,25,0,0,Two year,0,Bank transfer (automatic),DSL,1,0,0,1,0,0,844.45,35.05,1.1683333333333332
0191-ZHSKZ,No,Male,1,0,0,30,1,0,Month-to-month,1,Electronic check,DSL,1,1,0,0,1,1,2111.3,74.75,2.4916666666666667
0193-ESZXP,Yes,Female,1,1,0,58,1,0,One year,1,Credit card (automatic),Fiber optic,1,1,0,1,1,1,6205.5,105.5,3.5166666666666666
0195-IESCP,Yes,Male,0,1,0,10,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,0,1,855.3,85.25,2.841666666666667
0196-JTUQI,No,Female,0,0,0,9,1,1,Month-to-month,1,Credit card (automatic),Fiber optic,0,0,0,0,0,0,633.85,75.2,2.506666666666667
0196-VULGZ,Yes,Female,1,1,0,6,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,0,1,474.9,84.35,2.8116666666666665
0197-PNKNK,No,Female,0,1,1,69,1,1,One year,0,Bank transfer (automatic),Fiber optic,1,0,1,0,0,0,5848.6,84.45,2.815
0201-MIBOL,No,Female,1,0,0,66,1,1,Two year,1,Bank transfer (automatic),Fiber optic,1,0,0,0,1,1,6471.85,102.4,3.4133333333333336
0201-OAMXR,Yes,Female,0,0,0,70,1,1,One year,0,Credit card (automatic),Fiber optic,1,1,1,1,1,1,8127.6,115.55,3.8516666666666666
0203-HHYIJ,Yes,Male,0,0,0,25,1,1,One year,0,Bank transfer (automatic),No,0,0,0,0,0,0,676.35,25.3,0.8433333333333334
0206-OYVOC,No,Female,0,1,1,46,1,0,Two year,1,Mailed check,No,0,0,0,0,0,0,864.2,19.25,0.6416666666666667
0206-TBWLC,No,Female,0,1,0,54,1,1,One year,1,Mailed check,Fiber optic,1,1,1,1,1,1,6049.5,114.65,3.8216666666666668
0207-MDKNV,Yes,Female,0,0,0,15,1,0,Month-to-month,0,Electronic check,Fiber optic,1,0,1,1,1,1,1582.75,105.1,3.503333333333333
0208-BPQEJ,No,Female,0,1,1,12,1,0,Month-to-month,0,Bank transfer (automatic),No,0,0,0,0,0,0,198.1,19.4,0.6466666666666666
0212-ISBBF,No,Female,0,0,0,22,0,0,Month-to-month,1,Electronic check,DSL,0,1,0,0,1,1,1098.85,50.35,1.6783333333333335
0214-JHPFW,No,Female,0,1,0,70,0,0,Two year,0,Bank transfer (automatic),DSL,0,1,1,1,1,1,4039.3,57.8,1.9266666666666665
0215-BQKGS,No,Male,0,0,0,30,1,0,Month-to-month,1,Credit card (automatic),Fiber optic,1,1,1,0,0,0,2438.6,84.3,2.81
0218-QNVAS,No,Male,0,1,1,71,1,1,One year,0,Bank transfer (automatic),Fiber optic,0,1,0,0,1,1,7113.75,100.55,3.3516666666666666
0219-QAERP,No,Male,0,1,0,30,1,0,One year,0,Credit card (automatic),No,0,0,0,0,0,0,576.65,19.8,0.66
0219-YTZUE,Yes,Male,0,1,1,4,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,0,1,1,0,0,0,371.9,84.8,2.8266666666666667
0220-EBGCE,Yes,Male,0,0,0,2,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,1,0,0,1,167.3,85.85,2.8616666666666664
0221-NAUXK,No,Male,0,0,1,10,1,0,One year,1,Bank transfer (automatic),No,0,0,0,0,0,0,219.5,19.95,0.6649999999999999
0221-WMXNQ,No,Male,1,0,0,4,1,0,Month-to-month,0,Electronic check,Fiber optic,1,0,0,0,0,0,273.4,75.35,2.5116666666666663
0222-CNVPT,No,Male,1,0,0,52,0,0,Month-to-month,1,Credit card (automatic),DSL,1,0,0,0,1,1,2555.05,48.8,1.6266666666666665
0224-HJAPT,Yes,Male,0,0,0,5,1,1,Month-to-month,0,Electronic check,DSL,0,0,0,0,0,0,223.15,47.15,1.5716666666666665
0224-NIJLP,No,Male,0,1,1,8,1,0,Two year,0,Mailed check,No,0,0,0,0,0,0,165.5,20.15,0.6716666666666666
0224-RLWWD,No,Female,1,0,0,2,1,0,Month-to-month,1,Electronic check,DSL,0,0,0,0,0,0,89.3,44.3,1.4766666666666666
0225-ZORZP,No,Male,0,0,0,3,1,0,Month-to-month,0,Electronic check,Fiber optic,0,1,0,0,0,1,235.05,84.3,2.81
0228-MAUWC,No,Male,0,0,0,19,1,1,Month-to-month,0,Electronic check,DSL,0,0,1,1,0,0,1144.6,59.55,1.9849999999999999
0229-LFJAF,No,Male,0,0,0,72,1,1,Two year,0,Bank transfer (automatic),DSL,1,1,1,1,0,0,4908.25,69.65,2.3216666666666668
0230-UBYPQ,No,Male,1,1,0,63,0,0,One year,0,Bank transfer (automatic),DSL,1,0,0,1,0,0,2298.9,36.1,1.2033333333333334
0230-WEQUW,No,Male,0,1,0,66,0,0,Two year,1,Bank transfer (automatic),DSL,1,1,1,1,1,0,3789.2,56.6,1.8866666666666667
0231-LXVAP,Yes,Male,0,0,0,1,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,0,1,0,0,75.9,75.9,2.5300000000000002
0233-FTHAV,No,Female,0,0,0,60,1,1,One year,1,Bank transfer (automatic),Fiber optic,0,0,1,0,0,0,4765.0,79.2,2.64
0234-TEVTT,No,Female,0,1,1,48,0,0,One year,0,Credit card (automatic),DSL,1,0,1,0,0,1,2196.3,45.0,1.5
0235-KGSLC,Yes,Female,0,0,0,1,1,0,Month-to-month,1,Credit card (automatic),Fiber optic,0,0,1,0,1,0,85.55,85.55,2.8516666666666666
0236-HFWSV,Yes,Male,0,0,0,15,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,1,1,1444.65,93.35,3.1116666666666664
0237-YFUTL,No,Female,0,1,0,50,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,1,1,0,1,1,1,5405.8,109.65,3.6550000000000002
0238-WHBIQ,No,Male,0,1,1,72,1,1,Two year,0,Credit card (automatic),DSL,1,1,1,1,1,1,6339.3,89.7,2.99
0239-OXEXL,No,Female,0,0,0,46,1,1,Month-to-month,0,Mailed check,Fiber optic,1,1,0,0,0,0,3847.6,84.25,2.808333333333333
0244-LGNFY,No,Female,0,1,1,72,1,1,Two year,0,Bank transfer (automatic),DSL,1,1,1,1,1,1,6733.0,92.65,3.0883333333333334
0247-SLUJI,No,Male,0,1,1,1,1,0,Month-to-month,0,Mailed check,No,0,0,0,0,0,0,19.7,19.7,0.6566666666666666
0248-IPDFW,No,Female,0,0,0,1,1,1,Month-to-month,1,Electronic check,DSL,0,0,0,0,0,0,50.1,50.1,1.6700000000000002
0248-PGHBZ,No,Female,1,0,0,67,1,0,Two year,1,Bank transfer (automatic),Fiber optic,1,1,0,1,1,0,6140.85,92.45,3.0816666666666666
0253-ZTEOB,No,Female,0,1,1,48,1,1,Two year,0,Electronic check,DSL,0,1,0,1,1,1,3870.3,79.65,2.6550000000000002
0254-FNMCI,No,Female,0,0,0,72,1,0,Two year,1,Electronic check,Fiber optic,1,1,1,1,1,1,7624.2,109.9,3.6633333333333336
0254-KCJGT,No,Male,0,1,0,52,1,1,One year,1,Credit card (automatic),DSL,1,1,1,1,0,1,4354.45,81.4,2.7133333333333334
0254-WWRKD,No,Female,0,1,1,67,1,0,One year,0,Credit card (automatic),DSL,0,1,0,0,0,0,3431.75,50.55,1.6849999999999998
0256-LTHVJ,Yes,Female,0,1,1,28,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,0,1,2227.1,81.05,2.7016666666666667
0257-KXZGU,No,Female,0,1,1,32,1,1,Month-to-month,0,Bank transfer (automatic),DSL,0,1,1,0,0,0,2045.55,62.45,2.0816666666666666
0257-ZESQC,Yes,Female,1,1,0,27,1,0,Month-to-month,1,Bank transfer (automatic),Fiber optic,1,0,0,0,0,0,1929.35,75.2,2.506666666666667
0258-NOKBL,No,Male,0,0,0,3,1,0,Month-to-month,0,Electronic check,Fiber optic,0,1,1,0,0,1,268.45,90.4,3.0133333333333336
0259-GBZSH,Yes,Male,0,0,0,2,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,1,0,181.5,85.65,2.855
0260-ZDLGK,Yes,Female,0,0,1,9,1,0,Month-to-month,1,Mailed check,DSL,0,0,1,1,1,1,651.4,72.9,2.43
0263-FJTQO,No,Male,0,1,1,50,1,1,Two year,1,Credit card (automatic),DSL,1,0,0,1,1,0,3486.65,70.5,2.35
0264-CNITK,No,Female,0,1,1,71,1,0,Two year,0,Bank transfer (automatic),No,0,0,0,0,0,0,1389.6,20.1,0.67
0265-EDXBD,Yes,Male,1,1,0,32,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,0,0,2303.35,74.9,2.496666666666667
0265-PSUAE,No,Female,0,1,1,16,1,0,Month-to-month,0,Bank transfer (automatic),Fiber optic,1,0,1,0,1,1,1522.7,100.7,3.356666666666667
0266-CLZKZ,No,Female,0,1,1,67,1,1,Two year,1,Bank transfer (automatic),Fiber optic,0,0,1,1,1,1,6717.9,105.65,3.521666666666667
0266-GMEAO,No,Male,0,1,1,72,1,1,Two year,1,Credit card (automatic),Fiber optic,1,1,1,1,1,1,8058.55,114.3,3.81
0268-QKIWO,Yes,Female,0,0,0,3,1,0,Month-to-month,0,Electronic check,No,0,0,0,0,0,0,58.85,19.75,0.6583333333333333
0269-XFESX,No,Male,0,1,1,23,1,1,One year,0,Mailed check,No,0,0,0,0,0,0,538.5,24.35,0.8116666666666668
0270-THENM,No,Male,0,1,1,72,1,1,Two year,0,Bank transfer (automatic),DSL,1,1,1,1,0,0,5102.35,69.85,2.328333333333333
0274-JKUJR,No,Male,0,1,1,7,0,0,Month-to-month,0,Mailed check,DSL,1,1,1,0,1,1,465.7,58.85,1.9616666666666667
0274-VVQOQ,N/A,Male,1,1,0,65,1,1,One year,1,Bank transfer (automatic),Fiber optic,0,1,1,0,1,1,6792.45,103.15,3.4383333333333335
0277-BKSQP,No,Male,0,1,1,8,1,0,Month-to-month,1,Electronic check,DSL,0,0,0,0,1,0,475.1,54.4,1.8133333333333332
0277-ORXQS,No,Male,0,1,1,66,0,0,Two year,0,Bank transfer (automatic),DSL,0,0,0,1,1,1,3364.55,50.55,1.6849999999999998
0278-YXOOG,Yes,Male,0,0,0,5,1,0,Month-to-month,0,Mailed check,No,0,0,0,0,0,0,113.85,21.05,0.7016666666666667
0280-XJGEX,Yes,Male,0,0,0,49,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,0,1,1,0,1,1,5036.3,103.7,3.4566666666666666
0281-CNTZX,No,Male,0,1,0,63,1,0,Two year,1,Bank transfer (automatic),No,0,0,0,0,0,0,1234.8,19.95,0.6649999999999999
